date,sector,index_price,fund_nav,valuation_percentile,attention_rank_pct,fund_start_date,valuation_metric
2020-02-03,沪深300,3688.358,1.239,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-03,消费,14228.676,1.7896,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-03,科技,1795.774,1.8509,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-04,医药,10362.066,1.1128,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-04,沪深300,3785.638,1.27,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-04,消费,14610.399,1.8414,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-04,科技,1882.691,1.9321,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-05,医药,10783.71,1.1544,50.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-05,沪深300,3828.527,1.284,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-05,消费,14845.29,1.8711,50.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-05,科技,1939.62,1.9863,50.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-06,医药,11170.909,1.1924,100.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-06,沪深300,3899.775,1.307,20.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-06,消费,15254.298,1.9171,20.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-06,科技,2012.249,2.0561,100.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-07,医药,10983.55,1.1732,95.24,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-07,沪深300,3899.869,1.307,23.81,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-07,消费,15381.328,1.9305,23.81,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-07,科技,2015.799,2.0589,100.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-10,医药,10842.388,1.1594,90.91,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-10,沪深300,3916.005,1.312,27.27,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-10,消费,15573.786,1.9514,31.82,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-10,科技,2042.177,2.0844,100.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-11,医药,10837.783,1.1591,86.96,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-11,沪深300,3952.464,1.323,30.43,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-11,消费,15714.011,1.9669,34.78,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-11,科技,2028.444,2.0712,95.65,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-12,医药,10955.086,1.1712,91.67,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-12,沪深300,3984.433,1.334,33.33,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-12,消费,15777.158,1.9742,37.5,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-12,科技,2085.278,2.1258,100.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-13,医药,10832.175,1.1586,80.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-13,沪深300,3959.919,1.326,32.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-13,消费,15682.953,1.9632,32.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-13,科技,2064.596,2.106,96.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-14,医药,10835.044,1.1589,80.77,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-14,沪深300,3987.734,1.335,38.46,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-14,消费,15822.599,1.9797,42.31,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-14,科技,2069.219,2.1123,96.15,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-17,医药,11027.065,1.1788,96.3,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-17,沪深300,4077.424,1.363,44.44,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-17,消费,16055.391,2.0072,44.44,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-17,科技,2146.177,2.1854,100.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-18,医药,11013.28,1.1772,92.86,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-18,沪深300,4057.511,1.357,42.86,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-18,消费,15980.074,1.9983,42.86,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-18,科技,2170.949,2.2082,100.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-19,医药,10788.479,1.1538,68.97,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-19,沪深300,4051.311,1.355,41.38,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-19,消费,16165.021,2.0202,62.07,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-19,科技,2139.437,2.1778,93.1,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-20,医药,10913.077,1.1668,83.33,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-20,沪深300,4144.656,1.384,63.33,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-20,消费,16486.441,2.0584,73.33,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-20,科技,2186.737,2.2231,100.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-21,医药,10988.472,1.1745,90.32,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-21,沪深300,4149.49,1.386,70.97,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-21,消费,16398.989,2.0486,67.74,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-21,科技,2226.639,2.2608,100.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-24,医药,11042.179,1.1799,96.88,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-24,沪深300,4132.839,1.381,59.38,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-24,消费,16237.819,2.0304,62.5,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-24,科技,2263.972,2.2965,100.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-25,医药,11155.33,1.1911,96.97,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-25,沪深300,4123.854,1.378,51.52,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-25,消费,16201.36,2.0262,57.58,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-25,科技,2287.312,2.3181,100.0,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-26,医药,10805.329,1.1559,61.76,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-26,沪深300,4073.015,1.362,41.18,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-26,消费,16082.269,2.0123,47.06,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-26,科技,2180.701,2.2144,88.24,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-27,医药,10901.295,1.1655,74.29,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-27,沪深300,4084.876,1.366,45.71,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-27,消费,16282.464,2.0362,65.71,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-27,科技,2196.714,2.2298,91.43,50.0,2011-09-20,PRICE_PERCENTILE
2020-02-28,医药,10590.722,1.1342,44.44,50.0,2019-03-26,PRICE_PERCENTILE
2020-02-28,沪深300,3940.049,1.32,19.44,50.0,2009-07-10,PRICE_PERCENTILE
2020-02-28,消费,15660.176,1.962,22.22,50.0,2015-03-24,PRICE_PERCENTILE
2020-02-28,科技,2071.566,2.1087,72.22,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-02,医药,10832.426,1.1584,64.86,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-02,沪深300,4069.666,1.361,40.54,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-02,消费,16095.613,2.0134,48.65,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-02,科技,2135.415,2.1684,75.68,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-03,医药,11077.561,1.1831,94.74,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-03,沪深300,4091.362,1.368,50.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-03,消费,16279.984,2.0351,65.79,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-03,科技,2173.346,2.2029,84.21,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-04,医药,11056.852,1.181,92.31,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-04,沪深300,4115.052,1.375,56.41,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-04,消费,16530.932,2.0648,82.05,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-04,科技,2169.443,2.1985,79.49,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-05,医药,11263.601,1.202,100.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-05,沪深300,4206.725,1.404,100.0,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-05,消费,17247.093,2.1495,100.0,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-05,科技,2209.588,2.2372,92.5,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-06,医药,11288.53,1.2045,100.0,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-06,沪深300,4138.507,1.383,65.85,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-06,消费,16976.314,2.1175,97.56,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-06,科技,2192.936,2.2212,87.8,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-09,医药,11023.621,1.1772,80.95,50.0,2019-03-26,PRICE_PERCENTILE
2020-03-09,沪深300,3997.133,1.338,28.57,50.0,2009-07-10,PRICE_PERCENTILE
2020-03-09,消费,16496.87,2.0609,73.81,50.0,2015-03-24,PRICE_PERCENTILE
2020-03-09,科技,2093.063,2.1254,66.67,50.0,2011-09-20,PRICE_PERCENTILE
2020-03-10,医药,11049.848,1.1797,86.05,50.0,2019-03-26,PRICE_PERCENTILE
